epoch,trainingLoss,validationLoss
1103,0.103,0.197
1104,0.103,0.196
1105,0.103,0.196
1106,0.103,0.196
1107,0.103,0.196
1108,0.103,0.196
1109,0.103,0.196
1110,0.103,0.196
1111,0.102,0.196
1112,0.102,0.196
1113,0.102,0.196
1114,0.102,0.196
1115,0.102,0.196
1116,0.102,0.196
1117,0.102,0.196
1118,0.102,0.196
1119,0.102,0.196
1120,0.102,0.196
1121,0.102,0.196
1122,0.102,0.196
1123,0.102,0.196
1124,0.102,0.196
1125,0.101,0.196
1126,0.101,0.196
1127,0.101,0.196
1128,0.101,0.196
1129,0.101,0.196
1130,0.101,0.196
1131,0.101,0.196
1132,0.101,0.196
1133,0.101,0.196
1134,0.101,0.196
1135,0.101,0.196
1136,0.101,0.196
1137,0.101,0.196
1138,0.101,0.196
1139,0.100,0.196
1140,0.100,0.196
1141,0.100,0.196
1142,0.100,0.196
1143,0.100,0.196
1144,0.100,0.195
1145,0.100,0.195
1146,0.100,0.195
1147,0.100,0.195
1148,0.100,0.195
1149,0.100,0.195
1150,0.100,0.195
1151,0.100,0.195
1152,0.100,0.195
1153,0.099,0.195
1154,0.099,0.195
1155,0.099,0.195
1156,0.099,0.195
1157,0.099,0.195
1158,0.099,0.195
1159,0.099,0.195
1160,0.099,0.195
1161,0.099,0.195
1162,0.099,0.195
1163,0.099,0.195
1164,0.099,0.195
1165,0.099,0.195
1166,0.098,0.195
1167,0.098,0.195
1168,0.098,0.195
1169,0.098,0.195
1170,0.098,0.195
1171,0.098,0.195
1172,0.098,0.195
1173,0.098,0.195
1174,0.098,0.195
1175,0.098,0.195
1176,0.098,0.195
1177,0.098,0.195
1178,0.098,0.195
1179,0.098,0.195
1180,0.097,0.195
1181,0.097,0.195
1182,0.097,0.195
1183,0.097,0.195
1184,0.097,0.195
1185,0.097,0.195
1186,0.097,0.195
1187,0.097,0.195
1188,0.097,0.195
1189,0.097,0.194
1190,0.097,0.194
1191,0.097,0.194
1192,0.097,0.194
1193,0.097,0.194
1194,0.097,0.194
1195,0.096,0.194
1196,0.096,0.194
1197,0.096,0.194
1198,0.096,0.194
1199,0.096,0.194
1200,0.096,0.194
1201,0.096,0.194
1202,0.096,0.194
1203,0.096,0.194
1204,0.096,0.194
1205,0.096,0.194
1206,0.096,0.194
1207,0.096,0.194
1208,0.096,0.194
1209,0.095,0.194
1210,0.095,0.194
1211,0.095,0.194
1212,0.095,0.194
1213,0.095,0.194
1214,0.095,0.194
1215,0.095,0.194
1216,0.095,0.194
1217,0.095,0.194
1218,0.095,0.194
1219,0.095,0.194
1220,0.095,0.194
1221,0.095,0.194
1222,0.095,0.194
1223,0.095,0.194
1224,0.094,0.194
1225,0.094,0.194
1226,0.094,0.194
1227,0.094,0.194
1228,0.094,0.194
1229,0.094,0.194
1230,0.094,0.194
1231,0.094,0.194
1232,0.094,0.194
1233,0.094,0.194
1234,0.094,0.194
1235,0.094,0.194
1236,0.094,0.194
1237,0.094,0.194
1238,0.094,0.194
1239,0.093,0.194
1240,0.093,0.193
1241,0.093,0.193
1242,0.093,0.193
1243,0.093,0.193
1244,0.093,0.193
1245,0.093,0.193
1246,0.093,0.193
1247,0.093,0.193
1248,0.093,0.193
1249,0.093,0.193
1250,0.093,0.193
1251,0.093,0.193
1252,0.093,0.193
1253,0.093,0.193
1254,0.092,0.193
1255,0.092,0.193
1256,0.092,0.193
1257,0.092,0.193
1258,0.092,0.193
1259,0.092,0.193
1260,0.092,0.193
1261,0.092,0.193
1262,0.092,0.193
1263,0.092,0.193
1264,0.092,0.193
1265,0.092,0.193
1266,0.092,0.193
1267,0.092,0.193
1268,0.092,0.193
1269,0.091,0.193
1270,0.091,0.193
1271,0.091,0.193
1272,0.091,0.193
1273,0.091,0.193
1274,0.091,0.193
1275,0.091,0.193
1276,0.091,0.193
1277,0.091,0.193
1278,0.091,0.193
1279,0.091,0.193
1280,0.091,0.193
1281,0.091,0.193
1282,0.091,0.193
1283,0.091,0.193
1284,0.091,0.193
1285,0.090,0.193
1286,0.090,0.193
1287,0.090,0.193
1288,0.090,0.193
1289,0.090,0.193
1290,0.090,0.193
1291,0.090,0.193
1292,0.090,0.193
1293,0.090,0.193
1294,0.090,0.193
1295,0.090,0.193
1296,0.090,0.193
1297,0.090,0.193
1298,0.090,0.193
1299,0.090,0.192
1300,0.090,0.192
1301,0.089,0.192
1302,0.089,0.192
1303,0.089,0.192
1304,0.089,0.192
1305,0.089,0.192
1306,0.089,0.192
1307,0.089,0.192
1308,0.089,0.192
1309,0.089,0.192
1310,0.089,0.192
1311,0.089,0.192
1312,0.089,0.192
1313,0.089,0.192
1314,0.089,0.192
1315,0.089,0.192
1316,0.089,0.192
1317,0.088,0.192
1318,0.088,0.192
1319,0.088,0.192
1320,0.088,0.192
1321,0.088,0.192
1322,0.088,0.192
1323,0.088,0.192
1324,0.088,0.192
1325,0.088,0.192
1326,0.088,0.192
1327,0.088,0.192
1328,0.088,0.192
1329,0.088,0.192
1330,0.088,0.192
1331,0.088,0.192
1332,0.088,0.192
1333,0.088,0.192
1334,0.087,0.192
1335,0.087,0.192
1336,0.087,0.192
1337,0.087,0.192
1338,0.087,0.192
1339,0.087,0.192
1340,0.087,0.192
1341,0.087,0.192
1342,0.087,0.192
1343,0.087,0.192
1344,0.087,0.192
1345,0.087,0.192
1346,0.087,0.192
1347,0.087,0.192
1348,0.087,0.192
1349,0.087,0.192
1350,0.087,0.192
1351,0.086,0.192
1352,0.086,0.192
1353,0.086,0.192
1354,0.086,0.192
1355,0.086,0.192
